year,month,day,open,high,low,close,adj-close,volume
2021,04,01,9.50,9.57,9.13,9.14,9.14,7026800
2021,04,05,9.26,9.27,8.99,9.14,9.14,5991600
2021,04,06,9.11,9.16,8.84,8.98,8.98,6789200
2021,04,07,8.91,8.92,8.37,8.42,8.42,10185200
2021,04,08,8.52,8.66,8.31,8.51,8.51,6454900
2021,04,09,8.54,9.00,8.39,8.91,8.91,9325200
2021,04,12,8.57,8.71,8.00,8.09,8.09,11349700
2021,04,13,8.04,8.29,7.87,8.21,8.21,7518400
2021,04,14,8.24,8.24,7.90,7.98,7.98,7509600
2021,04,15,8.03,8.12,7.71,7.79,7.79,7521600
2021,04,16,7.82,7.89,7.51,7.88,7.88,6026600
2021,04,19,7.87,8.34,7.83,8.19,8.19,8717500
2021,04,20,8.30,8.37,7.61,7.65,7.65,9267500
2021,04,21,7.70,8.19,7.56,8.17,8.17,5897900
2021,04,22,8.16,8.30,7.93,8.00,8.00,5588300
2021,04,23,8.10,8.44,7.92,8.35,8.35,5015600
2021,04,26,8.44,8.58,8.19,8.55,8.55,7112800
2021,04,27,8.59,8.75,8.43,8.56,8.56,4468800
2021,04,28,8.57,9.12,8.45,9.05,9.05,7865000
2021,04,29,9.07,9.08,8.68,8.96,8.96,6331300
2021,04,30,8.79,9.06,8.75,8.94,8.94,3423500
2021,05,03,8.89,8.91,8.58,8.68,8.68,3774400
2021,05,04,8.51,8.68,8.29,8.67,8.67,3742800
2021,05,05,8.65,8.78,8.55,8.78,8.78,2739400
2021,05,06,8.68,8.78,8.30,8.46,8.46,4637300
2021,05,07,8.48,9.26,8.38,8.90,8.90,10389300
2021,05,10,8.86,8.89,8.40,8.40,8.40,4195900
2021,05,11,7.92,8.32,7.80,8.17,8.17,5993200
2021,05,12,8.11,8.18,7.66,7.71,7.71,6781400
2021,05,13,7.83,7.87,7.17,7.32,7.32,9616100
2021,05,14,6.75,7.09,6.59,6.86,6.86,14690300
2021,05,17,6.85,7.08,6.66,7.02,7.02,6923500
2021,05,18,7.10,7.46,6.96,7.38,7.38,5368000
2021,05,19,7.09,7.24,7.01,7.24,7.24,4167500
2021,05,20,7.29,7.42,7.14,7.32,7.32,3288800
2021,05,21,7.35,7.68,7.25,7.60,7.60,3800400
2021,05,24,7.66,7.66,7.18,7.61,7.61,5975700
2021,05,25,7.65,8.22,7.62,8.07,8.07,6440300
2021,05,26,8.18,8.65,7.98,8.49,8.49,6172100
2021,05,27,8.70,8.98,8.36,8.97,8.97,6299700
2021,05,28,9.03,9.66,8.87,9.66,9.66,22521100
2021,06,01,9.66,9.95,9.28,9.37,9.37,8241500
2021,06,02,9.35,10.11,9.34,10.10,10.10,10223000
2021,06,03,10.15,10.58,9.63,9.66,9.66,13876100
2021,06,04,9.76,9.79,9.13,9.16,9.16,6768900
2021,06,07,9.13,9.98,9.07,9.92,9.92,7112000
2021,06,08,9.99,10.16,9.69,10.05,10.05,5814400
2021,06,09,10.05,10.64,9.97,10.23,10.23,13299600
2021,06,10,10.25,10.28,9.70,9.89,9.89,4860500
2021,06,11,9.96,10.01,9.69,9.82,9.82,3499200
2021,06,14,9.73,9.87,9.54,9.67,9.67,3555900
2021,06,15,9.62,9.75,9.29,9.34,9.34,3573100
2021,06,16,9.25,9.50,9.15,9.26,9.26,3794600
2021,06,17,9.26,9.40,9.03,9.04,9.04,3274800
2021,06,18,9.01,9.07,8.60,8.73,8.73,5126000
2021,06,21,8.69,8.98,8.46,8.97,8.97,4343400
2021,06,22,8.94,8.98,8.74,8.91,8.91,2898900
2021,06,23,8.98,9.25,8.94,9.02,9.02,2958900
2021,06,24,9.13,9.43,9.09,9.35,9.35,3728600
2021,06,25,9.31,9.37,9.08,9.11,9.11,2780700
2021,06,28,9.15,9.54,9.12,9.28,9.28,3627400
2021,06,29,9.32,9.52,8.98,9.09,9.09,3493900
2021,06,30,9.04,9.32,8.92,9.04,9.04,3795900
2021,07,01,9.04,9.14,8.67,8.88,8.88,3419000
2021,07,02,8.93,8.96,8.56,8.62,8.62,3052000
2021,07,06,8.60,8.79,8.28,8.31,8.31,3915400
2021,07,07,8.31,8.46,7.93,7.98,7.98,4593900
2021,07,08,7.79,8.16,7.77,8.10,8.10,4588500
2021,07,09,8.28,8.28,8.03,8.24,8.24,1871800
2021,07,12,8.17,8.41,8.00,8.33,8.33,3214700
2021,07,13,8.52,8.86,8.33,8.37,8.37,5024400
2021,07,14,8.38,8.41,7.49,7.51,7.51,9441500
2021,07,15,7.66,7.74,7.07,7.34,7.34,6965900
2021,07,16,7.41,7.43,6.98,7.04,7.04,5386000
2021,07,19,6.92,7.07,6.71,7.04,7.04,4908000
2021,07,20,7.10,7.34,6.82,7.29,7.29,4087800
2021,07,21,7.34,7.54,7.25,7.52,7.52,2993400
2021,07,22,7.53,7.55,7.14,7.21,7.21,3545000
2021,07,23,7.22,7.23,6.93,7.08,7.08,2989800
2021,07,26,7.04,7.34,6.95,7.21,7.21,3247000
2021,07,27,7.16,7.40,6.63,6.84,6.84,7760700
2021,07,28,7.00,7.55,6.98,7.29,7.29,10716900
2021,07,29,7.45,7.47,7.08,7.11,7.11,5687500
2021,07,30,6.90,7.21,6.85,7.02,7.02,3881000
2021,08,02,7.03,7.30,6.97,7.08,7.08,3010000
2021,08,03,7.09,7.21,6.94,7.19,7.19,3317100
2021,08,04,7.10,7.25,6.86,6.93,6.93,4231800
2021,08,05,6.97,7.55,6.90,7.35,7.35,7007000
2021,08,06,7.40,7.40,7.13,7.32,7.32,2957400
2021,08,09,7.31,7.40,7.09,7.35,7.35,2366800
2021,08,10,7.37,7.45,7.22,7.32,7.32,3643600
2021,08,11,7.35,7.35,7.11,7.14,7.14,2599600
2021,08,12,7.17,7.17,6.96,7.06,7.06,3164600
2021,08,13,7.03,7.06,6.78,6.78,6.78,5110800
2021,08,16,6.80,6.83,6.57,6.61,6.61,3585300
2021,08,17,6.54,6.76,6.47,6.75,6.75,3673600
2021,08,18,6.74,7.03,6.50,6.69,6.69,5059600
2021,08,19,6.61,6.68,6.38,6.44,6.44,3915200
2021,08,20,6.44,6.74,6.37,6.68,6.68,5473100
2021,08,23,6.73,7.10,6.68,6.95,6.95,3965800
2021,08,24,6.99,7.26,6.88,7.23,7.23,5279000
2021,08,25,7.10,7.20,6.90,7.10,7.10,3254900
2021,08,26,7.08,7.25,6.89,7.00,7.00,3931200
2021,08,27,6.99,7.21,6.90,7.18,7.18,3861300
2021,08,30,7.18,7.23,6.99,7.14,7.14,2992500
2021,08,31,7.14,7.62,7.08,7.42,7.42,5830500
2021,09,01,7.49,7.59,7.14,7.20,7.20,4164800
2021,09,02,7.24,7.57,7.21,7.44,7.44,4084600
