year,month,day,open,high,low,close,adj-close,volume
2021,04,01,45.29,45.60,45.01,45.60,42.60,975700
2021,04,05,45.60,46.13,45.60,45.86,42.84,896800
2021,04,06,45.96,46.04,45.77,45.89,42.87,684400
2021,04,07,45.91,45.94,45.68,45.93,42.90,851300
2021,04,08,46.12,46.13,45.73,45.97,42.94,1001000
2021,04,09,45.99,46.22,45.86,46.22,43.17,1402900
2021,04,12,46.25,46.34,46.03,46.12,43.08,925600
2021,04,13,46.00,46.46,45.97,46.37,43.32,1063500
2021,04,14,46.41,46.44,46.15,46.25,43.20,2053900
2021,04,15,46.31,46.49,46.28,46.42,43.36,802700
2021,04,16,46.61,46.63,46.33,46.46,43.40,2414000
2021,04,19,46.60,46.75,46.34,46.40,43.34,1407300
2021,04,20,46.28,46.54,46.22,46.33,43.28,1393600
2021,04,21,46.38,46.83,46.28,46.78,43.70,861000
2021,04,22,46.78,46.88,46.49,46.51,43.45,1041600
2021,04,23,46.49,46.65,46.25,46.59,43.52,5003800
2021,04,26,46.72,46.82,46.51,46.63,43.56,992900
2021,04,27,46.75,46.75,46.49,46.54,43.47,1030400
2021,04,28,46.57,46.95,46.55,46.86,43.77,1219100
2021,04,29,47.20,47.55,47.04,47.27,44.16,843200
2021,04,30,47.30,47.47,47.12,47.25,44.14,997900
2021,05,03,47.45,47.63,47.29,47.44,44.31,887400
2021,05,04,47.45,47.61,47.28,47.59,44.45,848100
2021,05,05,47.60,48.00,47.59,48.00,44.84,1012000
2021,05,06,48.05,48.46,47.98,48.45,45.26,920800
2021,05,07,48.34,48.81,48.34,48.71,45.50,942500
2021,05,10,48.98,49.43,48.98,49.15,45.91,1149900
2021,05,11,49.03,49.09,48.59,48.74,45.53,1385100
2021,05,12,48.73,48.85,48.38,48.38,45.19,1026500
2021,05,13,48.19,48.77,48.19,48.64,45.44,1032200
2021,05,14,48.93,48.99,48.76,48.91,45.69,1388000
2021,05,17,49.09,49.18,48.93,49.03,45.80,1572000
2021,05,18,48.93,49.31,48.67,49.25,46.01,2184800
2021,05,19,48.98,49.22,48.56,49.00,45.77,2674900
2021,05,20,49.13,49.69,49.03,49.62,46.35,1057600
2021,05,21,49.78,49.86,49.44,49.53,46.27,2719200
2021,05,24,49.60,49.75,49.41,49.58,46.31,655900
2021,05,25,49.56,49.71,49.24,49.58,46.31,1236200
2021,05,26,49.49,49.76,49.37,49.68,46.41,1099400
2021,05,27,49.76,50.09,49.57,49.71,46.44,1543100
2021,05,28,49.65,49.96,49.61,49.72,46.44,1013800
2021,06,01,50.00,50.35,49.96,50.08,46.78,1203900
2021,06,02,50.23,50.37,50.09,50.33,47.01,976100
2021,06,03,50.06,50.35,50.06,50.16,46.86,1077400
2021,06,04,50.30,50.60,50.29,50.55,47.22,793800
2021,06,07,50.76,50.85,50.57,50.78,47.43,818800
2021,06,08,50.79,50.89,50.63,50.67,47.33,790200
2021,06,09,50.77,50.87,50.54,50.58,47.25,801700
2021,06,10,50.67,50.90,50.62,50.75,47.41,677500
2021,06,11,50.75,50.87,50.63,50.72,47.38,3667900
2021,06,14,50.00,50.14,49.71,50.08,47.60,1624900
2021,06,15,50.16,50.46,49.96,50.36,47.87,1272500
2021,06,16,50.42,50.45,49.87,49.88,47.41,952700
2021,06,17,49.67,49.72,49.36,49.47,47.02,1763100
2021,06,18,49.26,49.26,48.73,49.00,46.58,2446900
2021,06,21,49.03,49.57,49.03,49.53,47.08,842700
2021,06,22,49.41,49.73,49.17,49.67,47.21,1660600
2021,06,23,49.75,49.75,49.31,49.32,46.88,872900
2021,06,24,49.32,49.48,49.07,49.24,46.80,716400
2021,06,25,49.14,49.40,49.14,49.36,46.92,643100
2021,06,28,49.26,49.39,49.10,49.21,46.77,1049100
2021,06,29,49.18,49.45,49.18,49.29,46.85,1463600
2021,06,30,49.37,49.43,49.07,49.32,46.88,1010700
2021,07,01,49.43,49.73,49.37,49.54,47.09,515700
2021,07,02,49.55,49.74,49.29,49.70,47.24,658600
2021,07,06,49.63,49.63,49.14,49.38,46.94,622900
2021,07,07,49.49,49.66,49.39,49.60,47.15,806700
2021,07,08,49.30,49.59,49.07,49.42,46.97,927400
2021,07,09,49.51,49.84,49.50,49.80,47.34,736100
2021,07,12,49.83,49.97,49.68,49.81,47.35,728700
2021,07,13,49.81,50.06,49.62,49.83,47.36,1036200
2021,07,14,49.96,50.12,49.67,49.86,47.39,938900
2021,07,15,49.43,49.54,49.21,49.45,47.00,1361800
2021,07,16,49.51,49.74,49.33,49.46,47.01,803400
2021,07,19,48.90,48.94,48.12,48.52,46.12,1100400
2021,07,20,48.58,48.90,48.33,48.84,46.42,916300
2021,07,21,49.00,49.25,48.94,49.10,46.67,998900
2021,07,22,49.20,49.25,48.74,49.06,46.63,789200
2021,07,23,49.13,49.39,49.02,49.31,46.87,638200
2021,07,26,49.26,49.35,49.09,49.31,46.87,952600
2021,07,27,49.22,49.62,49.04,49.30,46.86,692000
2021,07,28,49.29,49.42,49.13,49.35,46.91,898400
2021,07,29,49.52,49.73,49.46,49.60,47.15,1234300
2021,07,30,49.66,50.20,49.58,49.91,47.44,1520100
2021,08,02,49.97,50.09,49.48,49.72,47.26,598600
2021,08,03,49.74,50.09,49.71,49.91,47.44,931900
2021,08,04,49.98,50.12,49.71,49.72,47.26,877500
2021,08,05,50.03,50.90,50.03,50.52,48.02,1588200
2021,08,06,50.69,50.94,50.60,50.75,48.24,1489300
2021,08,09,50.86,50.95,50.27,50.37,47.88,1183300
2021,08,10,50.40,50.79,50.37,50.72,48.21,1312500
2021,08,11,50.91,51.01,50.77,50.90,48.38,1023100
2021,08,12,50.90,51.02,50.76,50.91,48.39,755200
2021,08,13,50.89,51.18,50.81,51.12,48.59,572900
2021,08,16,50.99,51.26,50.89,51.25,48.71,770500
2021,08,17,51.05,51.29,50.96,51.24,48.70,1474100
2021,08,18,51.25,51.39,50.99,51.06,48.53,1868400
2021,08,19,50.67,50.67,50.25,50.47,47.97,1874500
2021,08,20,50.45,50.78,50.20,50.77,48.26,896900
2021,08,23,51.06,51.33,50.87,51.30,48.76,1099800
2021,08,24,51.31,51.55,51.11,51.40,48.86,1052300
2021,08,25,51.30,51.43,51.23,51.36,48.82,681600
2021,08,26,51.30,51.37,51.07,51.07,48.54,643900
2021,08,27,51.15,51.57,51.05,51.50,48.95,683800
2021,08,30,51.50,51.99,51.50,51.85,49.28,1673500
2021,08,31,51.91,52.70,51.77,52.12,49.54,1947300
2021,09,01,52.39,52.43,52.15,52.26,49.67,592400
2021,09,02,52.37,52.56,52.30,52.55,49.95,624800
2021,09,03,52.60,52.66,52.44,52.49,49.89,596400
2021,09,07,52.30,52.47,52.11,52.17,49.59,626100
2021,09,08,52.07,52.89,52.07,52.77,50.16,1111200
2021,09,09,52.66,52.91,52.48,52.71,50.10,3148300
2021,09,10,52.94,53.00,52.50,52.51,49.91,867500
2021,09,13,52.78,52.97,52.54,52.68,50.07,1637000
2021,09,14,52.17,52.20,51.28,51.30,49.59,3296400
2021,09,15,51.32,51.42,50.76,51.33,49.61,1729500
2021,09,16,51.19,51.38,50.80,51.24,49.53,806100
2021,09,17,50.91,51.20,50.63,50.73,49.03,956700
2021,09,20,50.22,50.53,49.86,50.26,48.58,1237100
2021,09,21,50.48,50.95,50.45,50.66,48.97,1228000
2021,09,22,50.73,51.12,50.65,50.79,49.09,974400
2021,09,23,51.00,51.53,51.00,51.23,49.52,571300
2021,09,24,51.05,51.18,50.84,51.13,49.42,663200
2021,09,27,51.14,51.19,50.79,50.89,49.19,899100
2021,09,28,50.63,50.69,49.89,50.01,48.34,1367400
2021,09,29,49.95,50.07,49.50,49.57,47.91,960200
2021,09,30,49.77,50.35,49.59,50.06,48.39,1790600
2021,10,01,50.09,50.23,49.74,50.04,48.37,871600
2021,10,04,50.13,50.40,49.94,50.14,48.46,696900
2021,10,05,50.17,50.42,49.91,50.21,48.53,741100
2021,10,06,50.01,50.23,49.70,50.20,48.52,949500
2021,10,07,50.32,50.70,50.29,50.63,48.94,815100
2021,10,08,50.79,50.83,50.48,50.68,48.99,800400
2021,10,11,50.69,50.98,50.60,50.61,48.92,455000
2021,10,12,50.71,50.73,50.30,50.52,48.83,980200
2021,10,13,50.59,50.95,50.50,50.95,49.25,910900
2021,10,14,51.30,51.88,51.29,51.54,49.82,934100
2021,10,15,51.57,51.86,51.32,51.38,49.66,993600
2021,10,18,51.19,51.25,50.91,51.12,49.41,920000
2021,10,19,51.27,51.35,50.93,51.22,49.51,576000
2021,10,20,51.22,51.43,51.17,51.27,49.56,882500
2021,10,21,51.27,51.31,50.84,50.86,49.16,735500
2021,10,22,50.98,51.19,50.88,51.08,49.37,629400
2021,10,25,51.10,51.35,50.71,51.01,49.30,1083700
2021,10,26,51.09,51.34,50.93,51.06,49.35,663700
2021,10,27,51.18,51.25,50.89,50.98,49.28,827400
2021,10,28,51.18,51.63,51.13,51.57,49.85,974100
2021,10,29,51.36,51.58,51.22,51.47,49.75,856800
2021,11,01,51.63,51.91,51.51,51.89,50.16,918100
2021,11,02,51.82,52.00,51.47,51.51,49.79,904600
2021,11,03,51.42,51.64,51.30,51.60,49.88,814800
2021,11,04,51.71,51.83,51.43,51.68,49.95,1221200
2021,11,05,51.80,52.02,50.81,50.84,49.14,1463300
2021,11,08,50.81,51.08,50.62,51.06,49.35,1201400
2021,11,09,51.04,51.41,50.99,51.32,49.60,693900
2021,11,10,51.28,51.70,51.19,51.28,49.57,811500
2021,11,11,51.11,51.30,50.71,50.89,49.19,687400
