year,month,day,open,high,low,close,adj-close,volume
2021,04,01,36.71,36.85,36.33,36.83,33.92,2385200
2021,04,05,36.92,36.99,36.63,36.98,34.06,2384000
2021,04,06,37.00,37.02,36.67,36.77,33.87,2694800
2021,04,07,36.76,36.99,36.64,36.74,33.84,2204200
2021,04,08,36.58,37.12,36.47,37.11,34.18,3188000
2021,04,09,37.14,37.18,36.72,36.88,33.97,2726100
2021,04,12,36.93,37.11,36.59,36.73,33.83,2203100
2021,04,13,36.84,36.91,36.58,36.73,33.83,2947500
2021,04,14,36.85,37.25,36.80,37.09,34.16,2639000
2021,04,15,37.19,37.31,37.06,37.31,34.36,2242800
2021,04,16,37.50,37.50,37.07,37.32,34.37,5010700
2021,04,19,37.45,37.58,37.21,37.38,34.43,2643200
2021,04,20,37.25,37.34,36.73,36.80,33.89,3869100
2021,04,21,36.55,37.37,36.55,37.33,34.38,2313000
2021,04,22,37.30,37.36,36.99,37.01,34.09,3314100
2021,04,23,37.26,37.26,36.83,37.09,34.16,2387600
2021,04,26,37.08,37.23,37.04,37.18,34.24,2674800
2021,04,27,37.26,37.74,37.13,37.67,34.70,2828800
2021,04,28,37.82,38.30,37.71,38.15,35.14,4432800
2021,04,29,38.46,38.63,38.27,38.57,35.53,2819000
2021,04,30,38.50,38.65,38.22,38.57,35.53,3162500
2021,05,03,38.77,38.94,38.55,38.77,35.71,2648500
2021,05,04,38.90,39.01,38.70,38.98,35.90,3023800
2021,05,05,39.21,40.03,39.16,39.94,36.79,6473000
2021,05,06,39.97,40.10,39.55,39.79,36.65,3247200
2021,05,07,39.41,39.71,38.54,39.66,36.53,5228900
2021,05,10,39.88,40.35,39.78,40.05,36.89,8271000
2021,05,11,39.73,40.12,39.58,39.86,36.71,5079000
2021,05,12,39.51,40.42,39.50,39.83,36.69,5741600
2021,05,13,38.73,39.03,38.10,38.39,36.12,8903100
2021,05,14,38.76,39.21,38.71,38.95,36.64,5452500
2021,05,17,38.91,39.12,38.65,38.78,36.48,6655700
2021,05,18,38.86,38.99,38.48,38.86,36.56,7421500
2021,05,19,38.55,38.57,37.84,37.96,35.71,7241400
2021,05,20,38.09,38.71,37.88,38.59,36.30,4019700
2021,05,21,38.81,38.91,38.39,38.61,36.32,2754300
2021,05,24,38.75,39.01,38.61,38.90,36.60,2367900
2021,05,25,38.83,38.92,38.43,38.45,36.17,3013100
2021,05,26,38.47,38.70,38.40,38.59,36.30,3185800
2021,05,27,38.64,38.84,38.51,38.65,36.36,4397800
2021,05,28,38.74,38.83,38.41,38.48,36.20,6133600
2021,06,01,38.92,38.99,38.59,38.67,36.38,5671100
2021,06,02,38.90,38.94,38.74,38.90,36.60,6121400
2021,06,03,38.78,38.90,38.54,38.63,36.34,4881700
2021,06,04,38.82,39.07,38.73,39.06,36.75,6985400
2021,06,07,39.14,39.57,39.12,39.52,37.18,2997100
2021,06,08,39.69,39.88,39.53,39.62,37.27,5018100
2021,06,09,39.77,39.91,39.61,39.77,37.41,3742900
2021,06,10,40.00,40.05,39.53,39.75,37.40,3801200
2021,06,11,39.80,39.89,39.62,39.68,37.33,3436200
2021,06,14,39.75,40.73,39.71,40.71,38.30,13202400
2021,06,15,40.82,40.94,40.52,40.78,38.36,3646500
2021,06,16,40.88,41.13,40.54,40.69,38.28,3384200
2021,06,17,40.70,40.81,40.04,40.41,38.02,4149300
2021,06,18,40.03,40.11,39.44,39.60,37.25,4793500
2021,06,21,39.90,40.15,39.62,40.00,37.63,2991600
2021,06,22,40.03,40.11,39.46,40.00,37.63,3059400
2021,06,23,40.19,40.31,39.84,39.84,37.48,3872400
2021,06,24,39.97,40.13,39.75,40.08,37.71,2240600
2021,06,25,40.23,40.34,40.04,40.24,37.86,1935900
2021,06,28,40.18,40.18,39.76,39.84,37.48,5008300
2021,06,29,39.85,39.95,39.73,39.84,37.48,3598000
2021,06,30,39.93,40.20,39.78,40.04,37.67,2418000
2021,07,01,40.25,40.61,40.17,40.39,38.00,2058100
2021,07,02,40.39,40.70,40.22,40.69,38.28,2606100
2021,07,06,40.56,40.58,39.76,40.20,37.82,2423100
2021,07,07,40.15,40.41,40.02,40.17,37.79,2597500
2021,07,08,39.75,40.00,39.52,39.84,37.48,2415900
2021,07,09,40.00,40.29,39.89,40.25,37.87,1992200
2021,07,12,40.09,40.27,39.97,40.15,37.77,1802900
2021,07,13,39.98,39.99,39.80,39.90,37.54,2044500
2021,07,14,40.00,40.00,39.44,39.54,37.20,2616700
2021,07,15,39.40,39.52,39.11,39.21,36.89,2550500
2021,07,16,39.30,39.50,39.03,39.08,36.77,2136300
2021,07,19,38.31,38.50,37.36,37.80,35.56,6808900
2021,07,20,37.72,38.08,37.34,37.94,35.69,5691900
2021,07,21,38.37,38.81,38.30,38.60,36.31,2534700
2021,07,22,38.70,38.85,38.40,38.68,36.39,2122000
2021,07,23,38.78,38.84,38.59,38.81,36.51,1884700
2021,07,26,38.81,39.30,38.63,38.90,36.60,3233600
