year,month,day,open,high,low,close,adj-close,volume
2021,04,01,70.32,70.55,69.80,70.36,69.29,475400
2021,04,05,70.36,70.90,70.24,70.65,69.57,212100
2021,04,06,70.71,71.28,70.17,71.08,70.00,350800
2021,04,07,71.20,71.40,70.75,70.79,69.71,327800
2021,04,08,71.09,71.09,69.69,70.03,68.96,519600
2021,04,09,70.22,70.48,69.89,70.20,69.13,360900
2021,04,12,70.16,70.64,69.94,70.49,69.41,256900
2021,04,13,70.49,70.52,69.52,69.58,68.52,326200
2021,04,14,69.51,69.63,68.51,69.07,68.02,341900
2021,04,15,69.07,69.79,69.05,69.56,68.50,326200
2021,04,16,70.02,70.25,69.71,69.88,68.81,273200
2021,04,19,69.81,70.19,69.70,69.94,68.87,251000
2021,04,20,69.90,70.72,69.89,70.67,69.59,348200
2021,04,21,70.63,71.31,69.91,70.39,69.32,226400
2021,04,22,70.11,70.70,69.86,70.27,69.20,333600
2021,04,23,70.11,70.36,69.22,69.30,68.24,251000
2021,04,26,69.15,69.55,68.54,69.43,68.37,224100
2021,04,27,69.23,69.24,68.70,68.73,67.68,501900
2021,04,28,68.62,68.95,68.08,68.30,67.26,447800
2021,04,29,68.40,68.92,68.14,68.16,67.12,462500
2021,04,30,68.22,68.87,67.74,68.25,67.21,751400
2021,05,03,68.45,68.84,68.28,68.32,67.28,182800
2021,05,04,68.06,68.57,68.05,68.22,67.18,299400
2021,05,05,68.50,69.72,68.43,69.40,68.34,374400
2021,05,06,70.09,71.31,69.70,70.07,69.00,804100
2021,05,07,70.05,70.78,69.99,70.61,69.53,700400
2021,05,10,70.38,72.00,70.38,71.56,70.47,804000
2021,05,11,71.21,71.82,70.61,71.19,70.10,784600
2021,05,12,71.18,71.96,71.11,71.48,70.39,865700
2021,05,13,71.34,72.60,71.26,71.86,70.76,869000
2021,05,14,71.90,72.44,71.89,72.14,71.04,685900
2021,05,17,71.91,72.83,71.91,72.34,71.24,707200
2021,05,18,72.19,72.66,71.95,72.64,71.53,784400
2021,05,19,72.15,75.00,72.15,74.17,73.04,1471600
2021,05,20,73.93,74.85,73.90,74.52,73.38,997100
2021,05,21,74.36,74.60,73.91,74.17,73.04,812300
2021,05,25,74.00,75.22,74.00,74.77,73.63,1032700
2021,05,26,74.91,75.69,74.78,75.45,74.30,808700
2021,05,27,75.16,75.55,73.90,74.12,72.99,1218700
2021,05,28,74.23,74.81,74.03,74.34,73.21,508300
2021,05,31,74.36,74.48,73.63,73.77,72.64,235300
2021,06,01,74.07,75.02,74.06,74.93,73.79,601500
2021,06,02,74.94,75.09,74.33,74.67,73.53,454900
2021,06,03,74.50,75.47,74.45,74.79,73.65,548100
2021,06,04,74.91,75.33,74.80,75.29,74.14,253600
2021,06,07,75.08,75.54,75.08,75.51,74.36,565000
2021,06,08,75.50,75.85,75.39,75.67,74.52,347200
2021,06,09,75.64,75.74,74.84,75.46,74.31,554600
2021,06,10,75.69,76.47,75.47,76.10,74.94,403300
2021,06,11,76.11,76.26,75.71,76.00,74.84,194700
2021,06,14,75.51,76.00,75.29,75.99,75.16,407400
2021,06,15,75.80,76.60,75.61,76.18,75.35,263800
2021,06,16,76.05,76.08,75.40,75.65,74.83,351000
2021,06,17,75.46,76.33,75.25,76.10,75.27,505600
2021,06,18,75.41,75.44,74.71,74.83,74.01,1084900
2021,06,21,74.83,75.44,74.36,75.18,74.36,314500
2021,06,22,75.19,75.87,75.11,75.73,74.90,448400
2021,06,23,75.78,75.91,74.70,75.78,74.95,692300
2021,06,24,75.84,76.37,75.53,76.29,75.46,465700
2021,06,25,76.11,76.30,75.75,75.85,75.02,542700
2021,06,28,75.96,76.26,75.57,76.04,75.21,464700
2021,06,29,76.06,76.50,75.82,76.21,75.38,259500
2021,06,30,76.33,76.55,75.63,76.29,75.46,536500
2021,07,02,76.63,77.36,76.55,77.14,76.30,382500
2021,07,05,77.10,77.10,76.53,76.72,75.88,118500
2021,07,06,76.79,77.18,75.67,76.11,75.28,338200
2021,07,07,76.14,77.24,76.12,77.19,76.35,396700
2021,07,08,77.10,78.45,76.81,78.39,77.54,597500
2021,07,09,78.33,78.81,77.79,78.57,77.71,406100
2021,07,12,78.50,78.94,78.07,78.34,77.49,188200
2021,07,13,78.44,79.03,78.03,78.99,78.13,340400
2021,07,14,78.68,78.88,78.18,78.26,77.41,289200
2021,07,15,78.48,79.56,78.41,79.44,78.57,401000
2021,07,16,79.35,80.50,79.35,80.21,79.34,290200
2021,07,19,80.08,80.72,79.56,80.50,79.62,538900
2021,07,20,80.44,80.88,80.15,80.29,79.41,365000
2021,07,21,80.33,80.33,79.07,79.24,78.38,334800
2021,07,22,79.16,79.73,78.91,79.29,78.43,193000
2021,07,23,79.45,80.28,79.19,80.25,79.38,272700
2021,07,26,80.25,80.88,79.80,80.85,79.97,241500
2021,07,27,81.34,81.84,80.84,81.61,80.72,347500
2021,07,28,81.02,82.93,81.02,82.44,81.54,421000
2021,07,29,82.33,84.27,82.28,83.87,82.96,655200
2021,07,30,83.95,84.47,83.21,84.40,83.48,520900
2021,08,03,84.44,86.50,84.44,86.09,85.15,629700
2021,08,04,86.50,87.15,85.93,86.34,85.40,489600
2021,08,05,86.49,87.14,85.35,85.48,84.55,311000
2021,08,06,85.33,85.99,85.32,85.79,84.85,245500
2021,08,09,85.66,86.05,85.60,85.79,84.85,421500
2021,08,10,85.74,86.56,85.74,86.15,85.21,476300
2021,08,11,86.15,86.26,85.11,86.00,85.06,565100
2021,08,12,85.94,87.18,85.70,86.96,86.01,634400
2021,08,13,86.60,87.54,86.60,86.88,85.93,573200
2021,08,16,86.93,87.46,86.76,87.21,86.26,450900
2021,08,17,87.21,87.79,87.00,87.58,86.63,674300
2021,08,18,87.36,88.23,86.98,87.77,86.81,947400
2021,08,19,87.32,89.23,87.28,89.03,88.06,716300
2021,08,20,88.98,89.63,88.65,88.96,87.99,613100
2021,08,23,88.91,89.07,88.18,88.90,87.93,401400
2021,08,24,88.50,89.00,88.18,88.80,87.83,377000
2021,08,25,88.80,89.05,88.39,89.00,88.03,298700
2021,08,26,88.77,88.97,88.32,88.75,87.78,322900
2021,08,27,88.65,88.97,88.01,88.12,87.16,379900
2021,08,30,88.03,89.04,87.65,88.90,87.93,222800
2021,08,31,88.80,89.65,88.66,88.89,87.92,892800
2021,09,01,89.00,89.59,88.80,89.11,88.14,640600
2021,09,02,89.25,90.22,89.14,89.57,88.59,343400
2021,09,03,89.60,89.91,89.00,89.81,88.83,263300
2021,09,07,89.74,90.10,89.29,89.79,88.81,551400
2021,09,08,89.82,92.00,89.73,91.82,90.82,649700
2021,09,09,91.85,92.00,90.17,91.29,90.29,998600
2021,09,10,91.18,91.61,90.49,90.72,89.73,521700
2021,09,13,90.78,91.34,88.61,88.74,87.77,743500
2021,09,14,88.10,88.78,87.55,87.63,87.03,498900
2021,09,15,87.57,87.99,86.81,87.73,87.13,466600
2021,09,16,87.85,88.04,87.32,87.43,86.83,280300
2021,09,17,87.03,87.66,85.37,85.64,85.06,1758400
2021,09,20,84.90,85.90,84.61,85.48,84.90,368100
2021,09,21,85.62,86.59,85.52,86.38,85.79,352100
2021,09,22,86.38,86.98,85.75,86.16,85.57,409600
2021,09,23,86.06,86.68,85.09,85.20,84.62,317300
2021,09,24,85.06,85.55,84.83,85.35,84.77,347100
2021,09,27,85.42,85.42,84.29,84.53,83.95,331600
2021,09,28,84.01,84.13,83.32,83.88,83.31,316600
2021,09,29,84.75,87.47,84.51,85.66,85.08,598000
2021,09,30,85.87,87.25,85.87,86.92,86.33,569300
2021,10,01,87.28,87.39,85.70,86.45,85.86,314500
2021,10,04,86.20,87.86,86.00,87.61,87.01,530700
