year,month,day,open,high,low,close,adj-close,volume
2021,04,01,25.20,25.40,25.12,25.39,24.32,2551200
2021,04,05,25.47,25.59,25.35,25.37,24.30,3410400
2021,04,06,25.47,25.60,25.39,25.53,24.46,2999300
2021,04,07,25.61,25.65,25.49,25.59,24.51,2484600
2021,04,08,25.62,25.80,25.60,25.71,24.63,4244600
2021,04,09,25.69,25.85,25.65,25.82,24.73,2680500
2021,04,12,25.80,25.84,25.70,25.73,24.65,1895300
2021,04,13,25.71,25.75,25.66,25.68,24.60,1870800
2021,04,14,25.71,25.77,25.60,25.62,24.54,1755700
2021,04,15,25.66,25.84,25.65,25.76,24.68,1604800
2021,04,16,25.78,26.07,25.68,26.06,24.96,2312700
2021,04,19,26.04,26.08,25.69,25.77,24.69,2672800
2021,04,20,25.71,25.81,25.61,25.80,24.72,1532500
2021,04,21,25.85,25.91,25.55,25.75,24.67,2412700
2021,04,22,25.77,25.79,25.60,25.77,24.69,1550800
2021,04,23,25.79,25.85,25.71,25.79,24.71,1262100
2021,04,26,25.81,25.85,25.67,25.75,24.67,1100600
2021,04,27,25.75,25.77,25.57,25.59,24.51,1594300
2021,04,28,25.66,25.69,25.51,25.52,24.45,2102100
2021,04,29,25.62,25.83,25.56,25.59,24.51,2872400
2021,04,30,25.59,25.70,25.50,25.50,24.43,2076300
2021,05,03,25.56,25.72,25.56,25.58,24.50,1434600
2021,05,04,25.60,25.70,25.36,25.69,24.61,3102000
2021,05,05,25.75,25.98,25.67,25.85,24.76,2276300
2021,05,06,25.95,26.15,25.84,26.12,25.02,3224000
2021,05,07,26.15,26.44,26.04,26.29,25.18,3603300
2021,05,10,26.35,26.59,26.28,26.29,25.18,5184400
2021,05,11,26.19,26.36,25.99,26.36,25.25,4672200
2021,05,12,26.29,26.39,26.13,26.18,25.08,1977900
2021,05,13,26.17,26.30,26.15,26.26,25.16,1752200
2021,05,14,26.29,26.42,26.21,26.42,25.31,3037000
2021,05,17,26.41,26.45,26.32,26.40,25.29,4203600
2021,05,18,26.36,26.57,26.18,26.50,25.39,1404200
2021,05,19,26.35,26.47,26.26,26.40,25.29,1819700
2021,05,20,26.40,26.78,26.29,26.65,25.53,2790000
