year,month,day,open,high,low,close,adj-close,volume
2021,04,01,65.19,65.75,65.07,65.74,62.76,1250300
2021,04,05,65.98,66.78,65.98,66.66,63.64,1400400
2021,04,06,66.59,66.76,66.21,66.36,63.35,1468800
2021,04,07,66.24,66.44,66.12,66.33,63.32,3134600
2021,04,08,65.68,65.80,65.14,65.72,63.50,3265100
2021,04,09,65.70,66.16,65.53,66.15,63.91,1225200
2021,04,12,66.18,66.73,65.82,66.52,64.27,1316000
2021,04,13,66.38,66.55,66.08,66.32,64.08,1592600
2021,04,14,66.23,66.53,66.10,66.27,64.03,2651800
2021,04,15,66.44,66.52,65.64,65.93,63.70,1279300
2021,04,16,66.25,66.41,66.00,66.24,64.00,2599300
2021,04,19,66.35,66.54,65.53,65.68,63.46,1667600
2021,04,20,65.45,65.61,64.74,64.96,62.76,3019600
2021,04,21,64.81,66.22,64.68,66.22,63.98,1153000
2021,04,22,66.04,66.42,65.70,66.16,63.92,1162300
2021,04,23,66.18,67.57,66.15,67.48,65.20,1464600
2021,04,26,67.64,68.36,67.64,67.92,65.62,1070800
2021,04,27,68.04,68.30,67.71,68.15,65.84,964800
2021,04,28,68.34,69.06,68.21,68.77,66.44,2441800
2021,04,29,69.31,69.63,69.03,69.37,67.02,1282400
2021,04,30,69.17,69.25,68.67,68.75,66.42,1625400
2021,05,03,69.08,69.27,68.56,68.59,66.27,1606800
2021,05,04,68.37,68.61,67.66,68.49,66.17,1971800
2021,05,05,68.66,69.45,68.54,69.44,67.09,1384400
2021,05,06,69.78,70.66,69.62,70.64,68.25,1851300
2021,05,07,70.14,71.03,69.93,70.94,68.54,1280000
2021,05,10,71.43,71.67,70.93,70.93,68.53,1325300
2021,05,11,70.75,71.19,70.19,70.72,68.33,1847100
2021,05,12,70.74,71.22,70.65,70.70,68.31,2071000
2021,05,13,70.46,71.84,70.46,71.57,69.15,2188700
2021,05,14,72.09,72.65,72.07,72.41,69.96,2318600
2021,05,17,72.46,73.37,72.37,73.26,70.78,1234700
2021,05,18,73.53,73.74,73.05,73.14,70.66,1316700
2021,05,19,72.66,72.88,71.93,72.26,69.81,1767000
2021,05,20,72.47,73.01,72.27,72.89,70.42,1473400
2021,05,21,73.12,73.42,72.68,73.03,70.56,1247500
2021,05,24,73.02,73.29,72.65,73.13,70.65,731000
2021,05,25,73.42,73.65,73.04,73.07,70.60,1720000
2021,05,26,72.96,73.44,72.89,73.33,70.85,1703500
2021,05,27,73.79,73.85,71.79,71.90,69.47,2742500
2021,05,28,72.35,72.59,71.84,72.10,69.66,2866700
2021,06,01,72.70,73.10,72.49,72.69,70.23,1891500
2021,06,02,72.83,73.21,72.49,72.77,70.31,1236500
