CNT SHA    X    Y  RAD   RX   RY    W    H   R   G   B    OP
  0   1   44    6   23   12   36   49   72  35 241 100  0.8
  1   0   46  206   45   40   40   24   88  11 107 208  0.1
  2   3  259    0   17   76   19   89   55 173 119 122  0.5
  3   1  230  122   18   73   19   66   36  83 198 203  0.8
  4   0  215  274   94   54   13   84   63 174  46  79  0.6
  5   0  224  198   68   17   98   99   76 145  61  30  0.6
  6   1   87  255   13   45   44   89   38 179   0 154  0.7
  7   3  360  233   54   85   16   42   23 186 105 207  0.4
  8   0  102  118   14   75   84   63   22  33 216 223  0.4
  9   3  204  207   80   16   79   46   92 184 241 219  0.1
